Start Date,Respondent ID,In what country do you work?,What is your age?,How long (in years) have you been in information technology or security?,,What is the highest level of formal education you have completed?,What is your gender identity?,,Do you currently have (or have had) industry certifications?,"If you do have certifications, which one do you value most?","If you do have certifications, which one do you value least?",What was your first job title in information technology or security?,What is your current job title in information technology or security?,Current Job Cleaned,Which of the following best describes the principal industry of your current organization?,,"Do you call it ""Cybersecurity"" or ""Information Security""","Are you currently or formerly employed by a Government, Military, or Defense Industrial Base (DIB) organization (or are you in a role that primarily supports one of those entities)?",Do you consider your role to be highly technical?,"On a scale of 1-10, how do you rate your coding or development skills?",What role in information security or cybersecurity do you believe is the new hotness?
4/8/21 21:10,12560383845,United States of America,45 to 54,21-40,,Doctorate,Man,,Yes,cissp,ceh,Webmaster,Security Architect,Assistant General Counsel,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,8,"While it's not new I still think its the ""data scientist"" role"
4/8/21 19:45,12560243242,United States of America,65 to 74,41-IAMETERNAL,,Graduated from high school,Man,,No,,,Operator,Sales Engineer,ATT&CK Lead,Software Sales,,Information Security (infosec),No,Yes,8,DevSecOps
4/8/21 14:22,12559502109,United States of America,35 to 44,5-Jan,,Graduated from College/University,Woman,,No,,,Cyber Threat Intelligence Analyst,Cyber Threat Intelligence NCOIC,Automation Developer and Infrastructure Engineer/Architect,Government,,Cybersecurity (cyber),Yes,No,2,Communication skills
4/8/21 11:33,12558995575,United States of America,25 to 34,10-Jun,,Graduated from College/University,Man,,Yes,CISSP,Project+,Cyber Support Analyst,Cyber Risk Management,Backend developer,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,No,7,DevOps Security Engineer (stop calling it something different every year)
4/7/21 11:28,12555719250,United States of America,25 to 34,10-Jun,,Completed graduate school,Man,,Yes,GIAC,Security+,Associate Threat Engineer,Consulting Analytics Engineer,BISO,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,No,Yes,8,Automation
4/7/21 7:49,12555001539,United States of America,35 to 44,20-Nov,,Completed graduate school,Man,,Yes,SANS Certifications ,"Course completion certificates from content providers such as Pentester Academy, Cybrary, and Applied Network Defense. These all have amazing content and an affordable entry price for most infosec personnel however, recognition of these types of certifications that do not require Pearson Vue level testing is low and offers diminishing returns. ",Military Signal MOS ,Senior Security Architect ,Blue teaming specialist,Healthcare & Pharmaceuticals,,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Automation and Machine Learning so that companies can replace all people with an algorithm and blinking lights. 
4/7/21 6:07,12554719554,Germany,55 to 64,21-40,,Graduated from College/University,Man,,Yes,"Accredited CC Evaluator in 3 schemes (Germany, Sweden, US)",German Grundschutz Auditor,Member of the AIX EMEA Security Competence Center (in the 90's),Information Security Officer,Branch Chief,Finance & Financial Services,,Information Security (infosec),No,Yes,7,"I don't care, it is all just buzzwords."
4/6/21 20:06,12553754944,United States of America,35 to 44,21-40,,Graduated from College/University,Man,,Yes,Giac,Cisco,Security engineer,Managing consultant ,CEO,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,7,
4/6/21 10:14,12552141860,United States of America,55 to 64,20-Nov,,Graduated from College/University,Man,,Yes,GCTI,Comptia A+,Malware analyst tech,"Cyber security engineer, advanced ",Chief Product Security Engineer,Finance & Financial Services,,Cybersecurity (cyber),No,Yes,4,Cloud PEN tester
4/6/21 6:28,12551343597,United States of America,35 to 44,20-Nov,,Completed graduate school,Woman,,Yes,CCNA because it was challenging to obtain,CISSP,IT Audit Intern,Principal Intelligence Analyst,Chief Research Officer,Software Sales,,I use both terms depending on audience I am talking to,Yes,Yes,7,Threat Intelligence Analyst (but I could be biased ha)
4/6/21 4:37,12551111217,Germany,25 to 34,10-Jun,,Associates Degree,Man,,Yes,CISSP,,Security Administrator,Principal Consultant Splunk,Chief Security Officer,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,6,kubernetes security
4/6/21 4:34,12551084280,United Kingdom of Great Britain and Northern Ireland,25 to 34,20-Nov,,Graduated from College/University,Man,,Yes,CISSP,Security+,Senior Security Analyst ,Product Lead for Detection & Response,Chief Security Officer,MSSP,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Automation Engineering
4/6/21 3:44,12550993006,United States of America,35 to 44,21-40,,Some College/University,Man,,Yes,Sans,Cissp,Desktop support,"VP, Sec Ops",Cio,Software Sales,,I use both terms depending on audience I am talking to,No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cloud security
4/6/21 0:42,12550710301,Belgium,45 to 54,21-40,,Completed graduate school,Man,,No,,,security engineer,incident response specialist,CIRT Analyst,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,security data scientist
4/5/21 20:28,12550381177,United States of America,45 to 54,10-Jun,,Completed graduate school,Man,,Yes,CISSP,,Systems Administrator,IT Director,CISO,Education,,I use both terms depending on audience I am talking to,Yes,Yes,2,"Incorporation of AI (e.g. human /machine teaming, adversarial AI, countering adversarial AI) seem to be the hotness. But personally, I think being able to allow business to move forward as securely as possible is the REAL hotness."
4/5/21 18:32,12550171309,United States of America,25 to 34,10-Jun,,Some graduate school,Man,,Yes,GIAC's,Wireshark Analyst,Security analyst,Staff Security Engineer,CISO,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,8,
4/5/21 16:08,12549845033,United States of America,25 to 34,20-Nov,,Graduated from College/University,Man,,Yes,CompTIA Security+,CompTIA A+,Help Desk,Senior Specialist - Systems Administrator,CISO,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,2,Cyber Security as a whole
4/5/21 15:25,12549744424,United States of America,35 to 44,20-Nov,,Graduated from College/University,Woman,,Yes,CISSP,Vendor related certifications,Network Engineer,Principal Engineer,CISO,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,4,Dev Sec Ops
4/5/21 15:05,12549735323,United States of America,45 to 54,21-40,,Some graduate school,Man,,Yes,"Don’t find any valuable, aside from checking the box for HR. ",,Electrical Engineer.  There were no real titles in 1990.    ,Depuity Program Manager & SOC Chief,CISO,Government,,Cybersecurity (cyber),Yes,Yes,9,
4/5/21 14:00,12549535686,United States of America,25 to 34,20-Nov,,Some graduate school,Man,,Yes,S+ since it's compliance mandate per DoD 8570 and a requirement for me to keep my job,CEH or CHFI  - EC Council is a soup sandwich these days,"Information Technology Specialist, 25B, my MOS",Staff Security Consultant,CISO,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,6,Cloud Security and DevSecOps
4/5/21 13:35,12549457945,Netherlands,45 to 54,21-40,,Graduated from College/University,Man,,Yes,GIAC GMON,CISA,Security Engineer,Consulting Sales Engineer,CISO,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Microservices and cloud security 
4/5/21 13:10,12549392773,United States of America,25 to 34,10-Jun,,Graduated from College/University,Woman,,Yes,Security +,,Cyber threat intelligence analyst,Security Intelligence Manager,CISO ,Other (please specify),News Media,Information Security (infosec),No,No,4,
4/5/21 12:17,12549255769,United States of America,45 to 54,21-40,,Some graduate school,Man,,Yes,GIAC GCDA,CISSP ( but only because you forced me to pick ),IT,Fed Director of Data Analytics,client manager,Other (please specify),Consulting,Information Security (infosec),No,Yes,8,ML
4/5/21 10:38,12548994138,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,GMON,,Malware and sandboxing research,Consulting Sales Engineer,Cloud Security Engineer,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,9,"Automation engineer. IAM. Appsec is coming up finally, after being a second-class citizen all these years."
4/5/21 10:10,12548917553,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,Yes,SANS/GIAC,ISACA and ISC2,Data Analyst (wrote reports using Microsoft Access),Security Strategist,Cloud security engineer,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Anything with cloud in its title
4/5/21 6:17,12548392389,United Kingdom of Great Britain and Northern Ireland,45 to 54,20-Nov,,Graduated from College/University,Man,,Yes,CISA,,Progreammer,Director of Sales Engineering,Cloud Security Engineering Lead,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Threat intelligence
4/4/21 19:05,12547736776,United States of America,45 to 54,20-Nov,,Completed graduate school,Man,,Yes,Security+.  I only have Network+ and Security+,Network+,IT Specialist,Cybersecurity Engineer,Compliance Solutions Engineer ,Airlines & Aerospace (including Defense),,Cybersecurity (cyber),Yes,Yes,6,Cloud based
4/4/21 16:39,12547614932,Italy,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,Splunk power user  Aws solution architect,,Analyst ,Technology architect,Computer scientist,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,8,
4/4/21 12:30,12547424356,United States of America,25 to 34,10-Jun,,Graduated from College/University,Woman,,Yes,"GREM, GRID, GCIH",,Analyst,Threat Hunter,Computer System Operator,"Utilities, Energy, and Extraction",,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Advanced Analytics and Data Science (creating algorithms for data analysis)
4/4/21 11:54,12547401630,Mexico,35 to 44,20-Nov,,Some College/University,Man,,Yes,GCFA,CEH,sysadmin,director of consulting services,COMSEC Manager,MSSP,,I use both terms depending on audience I am talking to,No,Yes,8,"blockchain (lol) ... serious answer: appsec still is underrated whilst most security issues are consequences of bad security practices in software development or lack of developer training in security. It’s not in the present , but should have been ‘the hotness’ for the last 10-15 years. Number 2: data scientists with threat intel background (or the other way around)  to make meaningful sense of all the crap going on in our networks/systems which no soc or dfir person can humanely process or analyze to a decent level of success "
4/4/21 12:03,12547398944,United States of America,35 to 44,10-Jun,,Some graduate school,Man,,Yes,GCIA,GCCC,Network Administrator,Incident Responder,Consultant,Government,,Cybersecurity (cyber),Yes,No,6,AI
4/4/21 8:48,12547222976,United States of America,45 to 54,21-40,,Completed graduate school,Man,,Yes,GIAC,CISSP,Systems Administrator,Senior Incident Response Consultant,Consultant,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,data analytics
4/3/21 19:12,12546615400,United States of America,35 to 44,21-40,,Completed graduate school,Woman,,No,,,I.T. Security Engineer,Cloud Security Engineering Lead,Consultant,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,6,Cloud Security
4/3/21 10:04,12546097360,United States of America,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,CISSP (good to get your foot in the door for cyber job),CISSP (proves you know enough to be dangerous),Sys admin,BISO,Consultant,Other (please specify),Hospitality ,I use both terms depending on audience I am talking to,No,No,6,Threat hunting 
4/3/21 9:04,12546025717,United States of America,25 to 34,20-Nov,,Graduated from College/University,Man,,Yes,GREM,CISSP,Computer specialist ,Security researcher,Consultant,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,Yes,Yes,6,Data science
4/3/21 8:46,12546011376,United States of America,45 to 54,21-40,,Completed graduate school,Man,,,Value is not interesting term. I would say OSCP give me the best value a close 2nd would be CISSP and then GCWN.,I found A+ to be worthless. ,NUB (non-useful body) or air breather. I was not part of the kinder gentler military ;),"I have many names, I most like Cyber Smoke-Jumper",Consultant ,Airlines & Aerospace (including Defense),,I use both terms depending on audience I am talking to,,No,6,I think the understanding of quantum computing and how it will interact with Humans and Traditional Compute (to include AI/ML) is the next hot thing. 
4/3/21 8:15,12545968582,United States of America,25 to 34,10-Jun,,Doctorate,Man,,Yes,CISSP-ISSEP,security+,consultant,lead analytics engineer,Consultant ,Government,,I use both terms depending on audience I am talking to,Yes,Yes,7,automation
4/3/21 3:28,12545689876,Tunisia,25 to 34,10-Jun,,Graduated from College/University,Woman,,Yes,GCTI,Dunno,Pentester,Threat Analyst,Consultant ,,,I use both terms depending on audience I am talking to,No,Yes,6,SOAR specialist or architect
4/2/21 22:07,12545427250,United States of America,25 to 34,5-Jan,,Graduated from College/University,Man,,Yes,"The SANS ones I have GCIH, GCFA and GREM. ",Security+,Cyber security analyst intern. ,Incident Response Consultant ,Consultant ,Other (please specify),Security Services,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Machine Learning and automation. 
4/2/21 21:39,12545401299,United States of America,25 to 34,5-Jan,,Some College/University,Woman,,Yes,Cysa+,,Security specialist,Cyber threat analyst,Consultant - Incident Repsonse ,Government,,Cybersecurity (cyber),Yes,Yes,3,
4/2/21 19:42,12545285990,Canada,45 to 54,21-40,,Did not attend school or did not graduate high school,Man,,Yes,"CISSP,,cisa,Cism,gpen Gfca grem gcti ",Security+,Security engineer ,Csirt director ,Consultant SE,,,Cybersecurity (cyber),No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,CTI 
4/2/21 19:12,12545254544,India,25 to 34,10-Jun,,Completed graduate school,Man,,No,,,Security Analyst,Security Consultant,Consultant Splunk,MSSP,,I use both terms depending on audience I am talking to,Yes,Yes,7,Orchestration and Automation.  Security in Containers/CNCF space.
4/2/21 17:58,12545167606,United States of America,55 to 64,21-40,,Graduated from College/University,Man,,Yes,CISSP,,Sales Engineer,Principal Architect,Consulting Analytics Engineer,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,7,Detection Engineer
4/2/21 17:51,12545153869,United States of America,35 to 44,21-40,,Graduated from high school,Man,,No,,,,,Consulting Sales Engineer,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,I am an extremely competent coder/developer,
4/2/21 16:33,12545046392,Germany,45 to 54,20-Nov,,Associates Degree,Man,,Yes,T.I.S.P.,,,,Consulting Sales Engineer,Finance & Financial Services,,Information Security (infosec),No,No,7,
4/2/21 16:20,12545034361,United States of America,35 to 44,20-Nov,,Associates Degree,Man,,Yes,"GCIA or GDAT or CASP, depending on what I'm trying to do",None,Help Desk Support,Automation Developer and Infrastructure Engineer/Architect,Consulting Sales Engineer,Government,,I use both terms depending on audience I am talking to,Yes,Yes,7,Integration Engineer
4/2/21 15:02,12545011798,United Kingdom of Great Britain and Northern Ireland,35 to 44,21-40,,Some College/University,Man,,No,,,,"Systems Architect, Founder, Co-Director",Consulting Sales Engineer,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),No,Yes,8,CyberDefence will slowly gain momentum
4/2/21 14:43,12544863279,Netherlands,55 to 64,21-40,,Graduated from College/University,Man,,No,,,Software developer,Senior Software Developer,Consulting Solutions Engineer,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,Yes,I am an extremely competent coder/developer,No idea
4/2/21 14:23,12544838612,United Kingdom of Great Britain and Northern Ireland,35 to 44,5-Jan,,Graduated from College/University,Man,,Yes,GIAC certifications,CCNA,Administrator,Cyber Security Specialist,Consulting Solutions Engineer - Security,Government,,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Cloud Architect
4/2/21 14:18,12544819450,Germany,45 to 54,21-40,,Some graduate school,Man,,No,,,,,COO & CO Founder @ Alphawave.co,Business Support & Logistics,,Information Security (infosec),No,Yes,7,
4/2/21 14:16,12544817992,United Kingdom of Great Britain and Northern Ireland,55 to 64,5-Jan,,Graduated from College/University,Man,,Yes,They all have value to me in different ways.,I don’t differentiate.,Information Security Specialist,Information Security Specialist,Corporate Solutions Engineer ,"Construction, Machinery, and Homes",,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,BISO
4/2/21 14:12,12544813917,Australia,35 to 44,21-40,,Some College/University,Man,,Yes,CISSP,CISSP,Intern,CISO,CRM Specialist / Administrator,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,8,"Focus on basics, not the new hotness"
4/2/21 13:59,12544786572,Trinidad and Tobago,35 to 44,21-40,,Some graduate school,Man,,Yes,Cisco CCNP-Security,None,Network Technician,Network and Security Manager.,Cs,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,7,Threat hunter
4/2/21 13:37,12544750098,Canada,45 to 54,21-40,,Graduated from College/University,Man,,Yes,GIAC,CISSP,System analyst,senior security analyst ,CSE Manager,"Telecommunications, Technology, Internet & Electronics",,Information Security (infosec),No,No,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,threat analyst
4/2/21 13:04,12544703487,United States of America,25 to 34,10-Jun,,Graduated from College/University,Man,,Yes,"GIAC. Period. Have CISSP from a while back, keep it for HR purposes if needed. ",CISSP. ,Help Desk Coordinator ,Incident Response Consultant ,CSIRT,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,"""Cloud Security ______"" (God it makes me cringe to write that), from my perspective in most organizations especially in organizations outside of software/big-tech cloud security is a free for all. The tooling is there to an extent, the vision to do something with it is about where on-prem was 15 years ago. "
4/2/21 12:52,12544670894,Austria,25 to 34,10-Jun,,Graduated from College/University,Man,,No,,,Information Security Advisor,Information Security Manager,Csirt director ,"Utilities, Energy, and Extraction",,Information Security (infosec),No,Yes,8,DevSecOps
4/2/21 12:37,12544647133,Germany,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,CISSP,DATA PRIVACY EXPERT,Information Security Auditor/ Consultant ,CISO,CSIRT-analyst,Manufacturing,,Information Security (infosec),No,No,3,No idea 
4/2/21 12:29,12544628931,Mexico,35 to 44,20-Nov,,Completed graduate school,Man,,Yes,Cism,Chfi  ,Security engineer,Principal dfir analyst ,Cti analyst ,Finance & Financial Services,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,Red team
4/2/21 12:23,12544619321,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,No,,,programmer,principal infosec engineer,CTO,Nonprofit,,I use both terms depending on audience I am talking to,Yes,Yes,6,
4/2/21 12:21,12544613498,United States of America,18 to 24,5-Jan,,Graduated from College/University,Man,,Yes,OSCP,,,No job,CTO,"Telecommunications, Technology, Internet & Electronics",,I use both terms depending on audience I am talking to,No,Yes,7,No idea. Waiting for ur session
4/2/21 12:17,12544607053,United States of America,35 to 44,21-40,,Completed graduate school,Woman,,Yes,,,Web Programmer,Principal Security Lead,CTO,Software Sales,,I use both terms depending on audience I am talking to,Yes,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,App Pen Testing
4/2/21 12:13,12544599735,United States of America,35 to 44,20-Nov,,Completed graduate school,Man,,Yes,CISSP,,Network Administrator,Cyber Intel Analyst Asc Manager,Currently running my own newly-founded company,,,Cybersecurity (cyber),Yes,Yes,6,Insider Threat
4/2/21 11:48,12544556171,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,GREM,CISSP,Technical Analyst,Threat Intelligence Manager,Customer Reliability Engineer,"Construction, Machinery, and Homes",,I use both terms depending on audience I am talking to,Yes,Yes,7,Threat playbook lifecycle automation integration 
4/2/21 11:44,12544546530,United States of America,45 to 54,20-Nov,,Graduated from College/University,Woman,,Yes,none,none,sales then engineering ,sales,Cyber analyst,Software Sales,,Information Security (infosec),No,No,I do not believe I have any coding/development skills at all,CMMC is the latest in push for compliance  not sure if that's hot ... but fraud is a lil sexy
4/2/21 11:27,12544520125,Canada,35 to 44,20-Nov,,Graduated from College/University,Man,,Yes,SANS GSEC,Novell CNA,Helpdesk,Field Engineering Manager,Cyber Analyst,Software Sales,,Information Security (infosec),Yes,Yes,6,Data scientist
4/2/21 11:28,12544515622,United States of America,25 to 34,Other (please specify),None,Some College/University,Woman,,No,,,,,Cyber Defense Operations Manager,Nonprofit,,,No,No,4,
4/2/21 11:18,12544501935,United States of America,45 to 54,21-40,,Graduated from College/University,Man,,Yes,GMON,CCNA,P.C. / Telecommunications Operator,Staff Security Consulting SE,Cyber Intel Analyst Asc Manager,Software Sales,,I use both terms depending on audience I am talking to,No,Yes,I can copypasta python/ruby/go/rust/bash/vbs/PowerShell code and get it to mostly run.,DevSecOps Analyst
4/2/21 11:14,12544490524,United States of America,25 to 34,5-Jan,,Graduated from high school,Woman,,No,,,Information Security Analyst Intern,IT Risk & Compliance Analyst 2,Cyber Investigator,Nonprofit,,I use both terms depending on audience I am talking to,No,No,4,Threat Intelligence
4/2/21 11:06,12544474259,United States of America,18 to 24,5-Jan,,Some College/University,Man,,Yes,OSCP,N/A,Can’t get one ,Can’t get one,Cyber operations engineer (senior) ,I am currently not employed,,Cybersecurity (cyber),No,Yes,6,RedTeaming
4/2/21 11:02,12544472898,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,,,Help desk technician,Lead Cybersecurity Engineer,Cyber Programs BizDev,Nonprofit,,I use both terms depending on audience I am talking to,Yes,Yes,8,
4/2/21 10:49,12544461999,United States of America,35 to 44,10-Jun,,Associates Degree,Man,,Yes,"All GIAC - GCIH, GCFA, GCDA, GSEC  Listed in order of value based on employability and preceved industry recognition ","CEH - just not a fan, while the materials would still probably help as a first exposure to the topics and concepts.",Jr. Network Engineer ,Information Security Engineer / Consultant ,Cyber Risk Director for incident response and recovery ,MSSP,,I use both terms depending on audience I am talking to,Yes,Yes,4,"Large need for experienced SOC Analysts, but see a larger need for Cloud Security pros that also understand on-prem solutions "
4/2/21 10:47,12544439446,United States of America,35 to 44,20-Nov,,Graduated from College/University,Woman,,Yes,"Lol, none of them. I only got a cert because I had to. ",All of them. ,"""Intern"" - parallelizing a curvefit genetic algorithm and managing the cluster it ran on. ",NOC SME,Cyber Risk Management,Airlines & Aerospace (including Defense),,Cybersecurity (cyber),No,Yes,9,All cybersec is hot 😉 But I imagine Quantum Computing Cryptographic Hazards Management will be an extremely hot role in the not-too-distant future 
4/2/21 10:40,12544422383,Ghana,25 to 34,5-Jan,,Completed graduate school,Man,,Yes,CISA,,,Cyber analyst,Cyber security analyst,"Telecommunications, Technology, Internet & Electronics",,Cybersecurity (cyber),Yes,Yes,6,
4/2/21 10:33,12544407267,United States of America,25 to 34,5-Jan,,Some graduate school,Woman,,No,,,Cyber exploitation engineer,Cyber operations engineer (senior) ,Cyber security analyst ,Government,,Cybersecurity (cyber),Yes,Yes,8,Threat intel 
4/2/21 10:20,12544396520,United States of America,45 to 54,21-40,,Some College/University,Man,,Yes,CISSP,Microsoft SMS 2.0,Not sure.,Senior Security Analyst.,Cyber Security Analyst 2,"Utilities, Energy, and Extraction",,Information Security (infosec),No,Yes,4,AI!  MACHINE LEARNING! CLOUD COMPETENCY!
4/2/21 10:17,12544377384,United States of America,35 to 44,21-40,,Completed graduate school,Man,,Yes,None. Mine are years out of date. ,,Desktop Support,"Director, IT",Cyber Security Analyst I,"Utilities, Energy, and Extraction",,I use both terms depending on audience I am talking to,No,No,6,
4/2/21 10:01,12544343252,United States of America,35 to 44,21-40,,Some graduate school,Woman,,Yes,GCFA,A+,Systems Administrator,Senior Threat Intelligence Analyst,"Cyber security engineer, advanced ",Software Sales,,I use both terms depending on audience I am talking to,Yes,Yes,6,Red teaming
4/2/21 9:50,12544320685,United States of America,45 to 54,21-40,,Completed graduate school,Man,,Yes,Gpen,Gcfa,Network analyst,Security specialist,Cyber Security Manager,Government,,Information Security (infosec),Yes,No,3,Rockstar 
