Cert valued most,Certs Valued Least
GDAT,SECURITY+
GDAT,SECURITY+
GDAT,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SECURITY+
GIAC,SIGMA
GIAC,Six Sigma
GIAC,Solaris Admin
GIACH,Splunk
GICSP,Splunk
Globalytica Intelligence Analysis Professional (Structured Analytical Techniques),Splunk
GMON,SSCP
GMON,SSCP
GMON,SSCP
GMON,VENDOR
GMON,VENDORS
GMON,VENDORS
GMON,Vmware VCP
GMON,Wireshark Analyst
GNFA,
GNFA,
GNFA,
GPEN,
GPEN,
GPEN,
GPEN,
GPEN,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM,
GREM ,
GRID,
GSE,
GSE,
GSE,
GSE,
GSEC,
GSEC,
GSEC,
GSEC,
GSEC,
GSEC,
GSEC,
GWAPT,
GXPN,
"If you do have certifications, which one do you value most?",
ISACA,
Kubernetes,
MCDBA,
MCSE,
MCSE,
Mental Health First Aid,
Microsoft,
Microsoft,
NONE,
none,
None,
None,
None,
Nothing - employeer paid for them,
Open-Ended Response,
Oracle OCP,
OSCE,
OSCE,
OSCE,
OSCE ,
OSCP,
OSCP,
OSCP,
OSCP,
OSCP,
OSCP,
OSCP,
OSCP,
OSCP,
OSEE,
RHCSA,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS,
SANS GSEC,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security +,
Security+,
Security+,
Security+ ,
Splunk,
Splunk,
Splunk,
Splunk,
Splunk,
Splunk,
Splunk,
Splunk,
Splunk,
Splunk,
SSCP,
SSCP,
SSCP,
TISP,
